"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Males","29 Cerebrovascular diseases (I60-I69)","2017",1728,80.6,63.6,-8.2,191,10.6,10.9,-4.5
"Males","29 Cerebrovascular diseases (I60-I69)","2018",1783,81.7,65.5,1.4,193,10.8,11.1,1.9
"Males","29 Cerebrovascular diseases (I60-I69)","2019",1788,78.7,65.6,-3.7,185,10.3,10.6,-4.6
"Males","29 Cerebrovascular diseases (I60-I69)","2020",1828,78.1,66.9,-0.8,197,11.1,11.3,7.8
"Males","29 Cerebrovascular diseases (I60-I69)","2021",1701,71.0,62.1,-9.1,158,8.9,9.1,-19.8
"Males","29 Cerebrovascular diseases (I60-I69)","2022",1826,72.5,66.4,2.1,179,10.1,10.3,13.5
"Males","29 Cerebrovascular diseases (I60-I69)","2023",1776,70.4,64.3,-2.9,188,10.6,10.7,5.0
"Males","29 Cerebrovascular diseases (I60-I69)","2024",1727,66.6,62.1,-5.4,153,8.7,8.6,-17.9
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2000",747,55.9,29.6,-7.8,141,9.0,8.1,-6.3
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2001",712,54.0,28.1,-3.4,148,9.2,8.4,2.2
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2002",829,58.9,32.6,9.1,181,11.0,10.3,19.6
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2003",831,58.9,32.6,0.0,175,10.4,9.9,-5.5
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2004",819,55.7,32.0,-5.4,180,10.7,10.2,2.9
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2005",817,54.8,31.8,-1.6,198,11.6,11.2,8.4
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2006",798,51.8,31.0,-5.5,167,9.4,9.4,-19.0
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2007",925,56.9,35.7,9.8,226,12.4,12.7,31.9
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2008",966,59.6,37.1,4.7,201,10.7,11.2,-13.7
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2009",1039,62.6,39.7,5.0,220,11.7,12.3,9.3
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2010",1084,61.7,41.2,-1.4,244,12.7,13.6,8.5
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2011",1032,57.2,39.0,-7.3,218,11.5,12.2,-9.4
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2012",1081,59.4,40.6,3.8,206,11.0,11.6,-4.3
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2013",1161,61.4,43.4,3.4,233,12.4,13.1,12.7
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2014",1198,63.5,44.6,3.4,194,10.6,11.0,-14.5
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2015",1236,63.6,45.8,0.2,210,11.6,11.9,9.4
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2016",1320,65.6,48.8,3.1,209,11.5,11.9,-0.9
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2017",1416,67.6,52.1,3.0,244,13.7,13.9,19.1
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2018",1474,69.9,54.2,3.4,210,11.7,12.0,-14.6
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2019",1611,75.0,59.1,7.3,225,12.7,12.9,8.5
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2020",1751,78.0,64.1,4.0,240,13.5,13.8,6.3
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2021",1810,79.7,66.1,2.2,228,12.9,13.1,-4.4
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2022",2074,88.2,75.5,10.7,253,14.4,14.5,11.6
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2023",2108,88.8,76.3,0.7,211,12.1,12.0,-16.0
"Males","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2024",2242,91.2,80.6,2.7,223,12.7,12.6,5.0
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2000",2296,208.6,90.9,4.9,288,18.5,16.5,9.5
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2001",2028,173.3,80.0,-16.9,232,14.6,13.2,-21.1
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2002",2080,173.0,81.8,-0.2,295,18.1,16.8,24.0
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2003",1950,162.2,76.5,-6.2,245,15.1,13.9,-16.6
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2004",1633,131.5,63.9,-18.9,211,12.4,12.0,-17.9
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2005",1445,106.5,56.3,-19.0,191,11.0,10.8,-11.3
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2006",1340,94.5,52.0,-11.3,187,10.5,10.5,-4.5
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2007",1365,90.2,52.7,-4.6,187,10.3,10.5,-1.9
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2008",1201,76.7,46.1,-15.0,185,9.8,10.3,-4.9
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2009",1333,81.1,50.9,5.7,202,10.5,11.3,7.1
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2010",1221,71.6,46.4,-11.7,173,8.9,9.6,-15.2
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2011",1263,70.2,47.7,-2.0,178,9.1,9.9,2.2
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2012",1238,67.2,46.5,-4.3,154,7.9,8.6,-13.2
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2013",1186,62.4,44.4,-7.1,162,8.4,9.1,6.3
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2014",1149,57.2,42.8,-8.3,134,7.1,7.6,-15.5
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2015",1158,55.8,42.9,-2.4,129,6.9,7.3,-2.8
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2016",1274,58.9,47.1,5.6,157,8.6,8.9,24.6
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2017",1263,57.0,46.5,-3.2,129,6.9,7.4,-19.8
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2018",1303,57.1,47.9,0.2,109,6.0,6.2,-13.0
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2019",1205,50.9,44.2,-10.9,115,6.3,6.6,5.0
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2020",1130,45.8,41.4,-10.0,99,5.5,5.7,-12.7
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2021",1102,42.7,40.2,-6.8,77,4.3,4.4,-21.8
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2022",1235,46.2,44.9,8.2,97,5.4,5.6,25.6
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2023",1276,47.4,46.2,2.6,102,5.7,5.8,5.6
"Males","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2024",1239,43.9,44.5,-7.4,98,5.4,5.5,-5.3
"Males","31 Influenza (J09-J11)","2000",55,5.7,2.2,-9.5,2,0.1,0.1,0.0
"Males","31 Influenza (J09-J11)","2001",13,1.7,0.5,-70.2,2,0.1,0.1,0.0
"Males","31 Influenza (J09-J11)","2002",10,1.0,0.4,-41.2,1,0.1,0.1,0.0
"Males","31 Influenza (J09-J11)","2003",19,1.7,0.7,70.0,2,0.1,0.1,0.0
"Males","31 Influenza (J09-J11)","2004",9,0.7,0.4,-58.8,0,0.0,0.0,-100.0
"Males","31 Influenza (J09-J11)","2005",13,1.1,0.5,57.1,0,0.0,0.0,0.0
"Males","31 Influenza (J09-J11)","2006",3,0.2,0.1,-81.8,0,0.0,0.0,0.0
"Males","31 Influenza (J09-J11)","2007",3,0.3,0.1,50.0,0,0.0,0.0,0.0
"Males","31 Influenza (J09-J11)","2008",5,0.2,0.2,-33.3,2,0.1,0.1,..
"Males","31 Influenza (J09-J11)","2009",22,1.1,0.8,450.0,7,0.4,0.4,300.0
"Males","31 Influenza (J09-J11)","2010",3,0.1,0.1,-90.9,2,0.1,0.1,-75.0
"Males","31 Influenza (J09-J11)","2011",20,1.1,0.8,1000.0,7,0.4,0.4,300.0
"Males","31 Influenza (J09-J11)","2012",15,1.1,0.6,0.0,1,0.1,0.1,-75.0
"Males","31 Influenza (J09-J11)","2013",21,0.8,0.8,-27.3,14,0.7,0.8,600.0
"Males","31 Influenza (J09-J11)","2014",21,1.0,0.8,25.0,8,0.4,0.5,-42.9
"Males","31 Influenza (J09-J11)","2015",55,3.1,2.0,210.0,2,0.1,0.1,-75.0
"Males","31 Influenza (J09-J11)","2016",108,5.0,4.0,61.3,24,1.3,1.4,1200.0
"Males","31 Influenza (J09-J11)","2017",113,5.8,4.2,16.0,7,0.4,0.4,-69.2
"Males","31 Influenza (J09-J11)","2018",175,8.8,6.4,51.7,10,0.5,0.6,25.0
"Males","31 Influenza (J09-J11)","2019",85,4.0,3.1,-54.5,10,0.6,0.6,20.0
"Males","31 Influenza (J09-J11)","2020",37,1.6,1.4,-60.0,7,0.4,0.4,-33.3
"Males","31 Influenza (J09-J11)","2021",0,0.0,0.0,-100.0,0,0.0,0.0,-100.0
"Males","31 Influenza (J09-J11)","2022",27,1.1,1.0,..,3,0.2,0.2,..
"Males","31 Influenza (J09-J11)","2023",67,2.7,2.4,145.5,3,0.2,0.2,0.0
"Males","31 Influenza (J09-J11)","2024",52,2.0,1.9,-25.9,6,0.3,0.3,50.0
"Males","32 Pneumonia (J12-J18, J849)","2000",1263,128.4,50.0,10.6,160,9.9,9.1,15.1
"Males","32 Pneumonia (J12-J18, J849)","2001",1052,100.8,41.5,-21.5,124,7.5,7.1,-24.2
"Males","32 Pneumonia (J12-J18, J849)","2002",1099,103.3,43.2,2.5,150,8.8,8.5,17.3
"Males","32 Pneumonia (J12-J18, J849)","2003",968,92.8,38.0,-10.2,107,6.4,6.1,-27.3
"Males","32 Pneumonia (J12-J18, J849)","2004",769,71.4,30.1,-23.1,84,4.8,4.8,-25.0
"Males","32 Pneumonia (J12-J18, J849)","2005",448,41.1,17.5,-42.4,65,3.7,3.7,-22.9
"Males","32 Pneumonia (J12-J18, J849)","2006",320,27.7,12.4,-32.6,57,3.2,3.2,-13.5
"Males","32 Pneumonia (J12-J18, J849)","2007",310,24.2,12.0,-12.6,62,3.4,3.5,6.3
"Males","32 Pneumonia (J12-J18, J849)","2008",237,18.1,9.1,-25.2,58,3.1,3.2,-8.8
"Males","32 Pneumonia (J12-J18, J849)","2009",271,19.4,10.3,7.2,53,2.8,3.0,-9.7
"Males","32 Pneumonia (J12-J18, J849)","2010",220,15.6,8.4,-19.6,50,2.7,2.8,-3.6
"Males","32 Pneumonia (J12-J18, J849)","2011",190,13.0,7.2,-16.7,33,1.8,1.8,-33.3
"Males","32 Pneumonia (J12-J18, J849)","2012",147,9.6,5.5,-26.2,30,1.6,1.7,-11.1
"Males","32 Pneumonia (J12-J18, J849)","2013",140,8.9,5.2,-7.3,26,1.4,1.5,-12.5
"Males","32 Pneumonia (J12-J18, J849)","2014",114,7.1,4.2,-20.2,16,0.9,0.9,-35.7
"Males","32 Pneumonia (J12-J18, J849)","2015",69,4.1,2.6,-42.3,13,0.7,0.7,-22.2
"Males","32 Pneumonia (J12-J18, J849)","2016",88,4.6,3.3,12.2,26,1.5,1.5,114.3
"Males","32 Pneumonia (J12-J18, J849)","2017",62,3.0,2.3,-34.8,19,1.1,1.1,-26.7
"Males","32 Pneumonia (J12-J18, J849)","2018",57,2.9,2.1,-3.3,11,0.6,0.6,-45.5
"Males","32 Pneumonia (J12-J18, J849)","2019",47,2.1,1.7,-27.6,13,0.7,0.7,16.7
"Males","32 Pneumonia (J12-J18, J849)","2020",49,2.2,1.8,4.8,5,0.3,0.3,-57.1
"Males","32 Pneumonia (J12-J18, J849)","2021",43,1.8,1.6,-18.2,1,0.1,0.1,-66.7
"Males","32 Pneumonia (J12-J18, J849)","2022",49,2.1,1.8,16.7,10,0.6,0.6,500.0
"Males","32 Pneumonia (J12-J18, J849)","2023",48,2.2,1.7,4.8,6,0.3,0.3,-50.0
"Males","32 Pneumonia (J12-J18, J849)","2024",42,1.5,1.5,-31.8,7,0.4,0.4,33.3
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2000",804,60.9,31.8,-3.6,89,6.2,5.1,1.6
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2001",799,59.2,31.5,-2.8,78,5.2,4.4,-16.1
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2002",789,56.1,31.0,-5.2,96,6.2,5.5,19.2
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2003",776,55.3,30.4,-1.4,101,6.4,5.7,3.2
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2004",668,45.9,26.1,-17.0,93,5.6,5.3,-12.5
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2005",788,51.8,30.7,12.9,89,5.1,5.0,-8.9
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2006",831,54.1,32.2,4.4,106,6.0,6.0,17.6
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2007",819,50.8,31.6,-6.1,88,4.8,4.9,-20.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2008",758,46.2,29.1,-9.1,99,5.2,5.5,8.3
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2009",788,45.9,30.1,-0.6,106,5.4,5.9,3.8
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2010",770,43.2,29.3,-5.9,86,4.3,4.8,-20.4
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2011",811,42.7,30.7,-1.2,113,5.7,6.3,32.6
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2012",818,42.4,30.8,-0.7,97,4.9,5.4,-14.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2013",799,40.7,29.9,-4.0,95,4.9,5.4,0.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2014",790,37.6,29.4,-7.6,83,4.4,4.7,-10.2
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2015",799,37.1,29.6,-1.3,92,4.9,5.2,11.4
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2016",806,36.2,29.8,-2.4,87,4.7,5.0,-4.1
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2017",839,36.6,30.9,1.1,77,4.1,4.4,-12.8
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2018",828,34.8,30.4,-4.9,73,4.0,4.2,-2.4
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2019",787,32.5,28.9,-6.6,77,4.2,4.4,5.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2020",817,32.3,29.9,-0.6,69,3.8,4.0,-9.5
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2021",772,29.6,28.2,-8.4,51,2.8,2.9,-26.3
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2022",840,31.1,30.6,5.1,63,3.5,3.6,25.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2023",828,29.7,30.0,-4.5,76,4.2,4.3,20.0
"Males","33 Bronchitis and emphysema (J40-J44, J47)","2024",827,28.7,29.7,-3.4,64,3.5,3.6,-16.7
"Males","34 Asthma (J45-J46)","2000",38,2.9,1.5,38.1,8,0.5,0.5,66.7
"Males","34 Asthma (J45-J46)","2001",31,2.0,1.2,-31.0,7,0.4,0.4,-20.0
"Males","34 Asthma (J45-J46)","2002",32,2.1,1.3,5.0,10,0.6,0.6,50.0
"Males","34 Asthma (J45-J46)","2003",26,1.9,1.0,-9.5,5,0.3,0.3,-50.0
"Males","34 Asthma (J45-J46)","2004",17,1.4,0.7,-26.3,3,0.2,0.2,-33.3
"Males","34 Asthma (J45-J46)","2005",32,2.0,1.2,42.9,6,0.3,0.3,50.0
"Males","34 Asthma (J45-J46)","2006",27,2.2,1.0,10.0,2,0.1,0.1,-66.7
"Males","34 Asthma (J45-J46)","2007",30,2.2,1.2,0.0,6,0.3,0.3,200.0
"Males","34 Asthma (J45-J46)","2008",27,1.8,1.0,-18.2,3,0.2,0.2,-33.3
"Males","34 Asthma (J45-J46)","2009",30,2.0,1.1,11.1,6,0.3,0.3,50.0
"Males","34 Asthma (J45-J46)","2010",25,1.7,0.9,-15.0,4,0.2,0.2,-33.3
"Males","34 Asthma (J45-J46)","2011",36,2.5,1.4,47.1,1,0.1,0.1,-50.0
"Males","34 Asthma (J45-J46)","2012",35,2.2,1.3,-12.0,4,0.2,0.2,100.0
"Males","34 Asthma (J45-J46)","2013",22,1.4,0.8,-36.4,3,0.2,0.2,0.0
"Males","34 Asthma (J45-J46)","2014",23,1.5,0.9,7.1,2,0.1,0.1,-50.0
"Males","34 Asthma (J45-J46)","2015",20,1.3,0.7,-13.3,1,0.1,0.1,0.0
"Males","34 Asthma (J45-J46)","2016",26,1.7,1.0,30.8,1,0.1,0.1,0.0
"Males","34 Asthma (J45-J46)","2017",20,1.1,0.7,-35.3,4,0.2,0.2,100.0
"Males","34 Asthma (J45-J46)","2018",17,1.0,0.6,-9.1,1,0.1,0.1,-50.0
"Males","34 Asthma (J45-J46)","2019",20,0.9,0.7,-10.0,0,0.0,0.0,-100.0
"Males","34 Asthma (J45-J46)","2020",24,1.3,0.9,44.4,3,0.2,0.2,..
"Males","34 Asthma (J45-J46)","2021",17,0.8,0.6,-38.5,1,0.1,0.1,-50.0
"Males","34 Asthma (J45-J46)","2022",14,0.6,0.5,-25.0,2,0.1,0.1,0.0
"Males","34 Asthma (J45-J46)","2023",16,0.6,0.6,0.0,1,0.1,0.1,0.0
"Males","34 Asthma (J45-J46)","2024",17,0.7,0.6,16.7,4,0.2,0.2,100.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2000",136,10.8,5.4,-3.6,29,1.8,1.7,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2001",133,9.6,5.2,-11.1,21,1.3,1.2,-27.8
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2002",150,10.5,5.9,9.4,38,2.4,2.2,84.6
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2003",161,10.5,6.3,0.0,30,1.9,1.7,-20.8
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2004",170,12.1,6.6,15.2,31,1.9,1.8,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2005",164,10.5,6.4,-13.2,31,1.8,1.8,-5.3
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2006",159,10.3,6.2,-1.9,22,1.2,1.2,-33.3
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2007",203,12.7,7.8,23.3,31,1.7,1.7,41.7
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2008",174,10.4,6.7,-18.1,23,1.2,1.3,-29.4
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2009",222,12.7,8.5,22.1,30,1.6,1.7,33.3
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2010",203,11.0,7.7,-13.4,31,1.6,1.7,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2011",206,10.9,7.8,-0.9,24,1.3,1.3,-18.8
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2012",223,11.8,8.4,8.3,22,1.2,1.2,-7.7
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2013",204,10.6,7.6,-10.2,24,1.3,1.4,8.3
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2014",201,10.0,7.5,-5.7,25,1.3,1.4,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2015",215,10.1,8.0,1.0,21,1.1,1.2,-15.4
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2016",246,11.3,9.1,11.9,19,1.0,1.1,-9.1
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2017",229,10.6,8.4,-6.2,22,1.2,1.3,20.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2018",226,9.7,8.3,-8.5,14,0.8,0.8,-33.3
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2019",266,11.4,9.8,17.5,15,0.8,0.9,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2020",203,8.4,7.4,-26.3,15,0.8,0.9,0.0
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2021",270,10.5,9.9,25.0,24,1.3,1.4,62.5
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2022",305,11.4,11.1,8.6,19,1.1,1.1,-15.4
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2023",317,12.2,11.5,7.0,16,0.9,0.9,-18.2
"Males","35 Other diseases of the respiratory system (J00-J06, J20-J39, J60-J64, J66-J848, J85-J99)","2024",301,11.0,10.8,-9.8,17,0.9,1.0,0.0
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2000",568,42.8,22.5,-2.9,152,9.7,8.7,3.2
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2001",512,39.6,20.2,-7.5,124,7.6,7.1,-21.6
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2002",519,38.2,20.4,-3.5,127,7.6,7.2,0.0
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2003",517,37.7,20.3,-1.3,135,7.8,7.7,2.6
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2004",554,37.5,21.7,-0.5,155,9.1,8.8,16.7
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2005",602,39.9,23.4,6.4,175,10.0,9.9,9.9
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2006",528,33.8,20.5,-15.3,138,7.7,7.8,-23.0
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2007",605,36.5,23.4,8.0,167,9.2,9.4,19.5
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2008",493,28.9,18.9,-20.8,140,7.5,7.8,-18.5
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2009",597,34.1,22.8,18.0,156,8.3,8.7,10.7
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2010",571,30.2,21.7,-11.4,152,8.0,8.5,-3.6
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2011",569,30.1,21.5,-0.3,141,7.4,7.9,-7.5
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2012",528,27.6,19.9,-8.3,141,7.4,7.9,0.0
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2013",533,26.3,19.9,-4.7,119,6.5,6.7,-12.2
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2014",582,27.4,21.7,4.2,131,7.2,7.4,10.8
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2015",538,25.4,20.0,-7.3,124,6.8,7.0,-5.6
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2016",554,25.0,20.5,-1.6,114,6.3,6.5,-7.4
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2017",606,26.5,22.3,6.0,140,7.8,8.0,23.8
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2018",543,22.9,20.0,-13.6,104,5.8,6.0,-25.6
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2019",585,24.8,21.5,8.3,97,5.4,5.6,-6.9
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2020",621,24.5,22.7,-1.2,133,7.4,7.6,37.0
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2021",662,26.4,24.2,7.8,110,6.2,6.3,-16.2
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2022",651,24.7,23.7,-6.4,103,5.8,5.9,-6.5
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2023",690,25.7,25.0,4.0,119,6.7,6.8,15.5
"Males","36 Diseases of the digestive system excl. alcohol-related diseases","2024",644,23.7,23.1,-7.8,102,5.8,5.7,-13.4
"Males","37 Diseases of the genitourinary system (N00-N99)","2000",150,13.7,5.9,-26.7,12,0.7,0.7,-41.7
"Males","37 Diseases of the genitourinary system (N00-N99)","2001",159,14.4,6.3,5.1,15,0.9,0.9,28.6
"Males","37 Diseases of the genitourinary system (N00-N99)","2002",160,15.1,6.3,4.9,10,0.6,0.6,-33.3
"Males","37 Diseases of the genitourinary system (N00-N99)","2003",159,16.3,6.2,7.9,11,0.7,0.6,16.7
"Males","37 Diseases of the genitourinary system (N00-N99)","2004",150,14.3,5.9,-12.3,8,0.5,0.5,-28.6
"Males","37 Diseases of the genitourinary system (N00-N99)","2005",166,14.8,6.5,3.5,17,1.0,1.0,100.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2006",165,14.6,6.4,-1.4,19,1.1,1.1,10.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2007",160,12.3,6.2,-15.8,20,1.1,1.1,0.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2008",148,10.5,5.7,-14.6,20,1.1,1.1,0.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2009",174,11.8,6.6,12.4,12,0.6,0.7,-45.5
"Males","37 Diseases of the genitourinary system (N00-N99)","2010",164,11.3,6.2,-4.2,14,0.7,0.8,16.7
"Males","37 Diseases of the genitourinary system (N00-N99)","2011",154,11.0,5.8,-2.7,14,0.7,0.8,0.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2012",158,10.4,5.9,-5.5,12,0.6,0.7,-14.3
"Males","37 Diseases of the genitourinary system (N00-N99)","2013",163,10.5,6.1,1.0,6,0.3,0.3,-50.0
"Males","37 Diseases of the genitourinary system (N00-N99)","2014",141,7.9,5.2,-24.8,19,1.0,1.1,233.3
