"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","00 COVID-19 virus infection (U071, U072, U109)","2003",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2004",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2005",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2006",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2007",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2008",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2009",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2010",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2011",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2012",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2013",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2014",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2015",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2016",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2017",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2018",0,0.0,0.0,0.0,0,0.0,0.0,0.0
